,ID,price,local,areas,bedrooms,parking-spaces,bathrooms,cep
22,2638278275,270000.0,"Rua João Nobre, Torre",77.0,2.0,1.0,,58040-530
23,2634205599,700000.0,"Rua Inácio Ferreira Serrano, Brisamar",87.0,3.0,2.0,,58032-100
24,2638335531,245000.0,"Jardim Universitário, Castelo Branco",77.0,3.0,2.0,,86055-645
25,2628954638,134949.0,"Rua José Rodrigues Matos, Planalto Boa Esperança",52.0,2.0,1.0,,58065-081
26,2631717791,320000.0,"Rua Lionidio Francisco de Oliveira, Estados",110.0,3.0,,,58030-330
27,2638517488,152900.0,"Rua Paulo Braga dos Santos, Valentina de Figueiredo",48.0,2.0,1.0,,58063-000
28,2631178964,31000.0,"Rua Doutor Valdevino Gregório de Andrade, Gramame",65.0,3.0,1.0,,58064-550
29,2599195541,639000.0,"Avenida Campos Sales, Bessa",92.0,3.0,2.0,,58035-070
30,2608514759,230000.0,"Rua José Marinho de Souza, Portal do Sol",74.0,3.0,1.0,,58052-287
31,2638167407,380000.0,"Praça Tenente Antonio Fernandes do Amaral, Aeroclube",60.0,2.0,1.0,,
32,2638575420,390000.0,"Avenida Presidente Afonso Pena, Bessa",90.0,3.0,1.0,,58035-200
33,2637873978,240800.0,"Avenida Alagoas, Estados",57.0,2.0,1.0,,58030-330
34,2638551985,678000.0,"Avenida Ingá, Manaíra",98.0,3.0,2.0,,58038-381
35,2638525257,195000.0,"Rua João Câmara, Treze de Maio",54.0,2.0,1.0,,58025-060
36,2638547787,199000.0,"Rua Arnaud dos Anjos Brandão, Portal do Sol",56.0,2.0,1.0,,58052-287
37,2608560739,350000.0,"Rua Abdias Gomes de Almeida, Tambauzinho",60.0,2.0,1.0,,
38,2632265655,114740.0,"Rua Julieta Cordeiro de Medeiros, Paratibe",44.0,2.0,1.0,,
39,2638733668,350000.0,"Bancários, João Pessoa",178.0,3.0,,,
40,2628957782,145430.0,"Rua Enedino Rodrigues de Carvalho, Industrias",59.0,2.0,1.0,,58081-300
41,2638747555,230000.0,"Avenida Marechal Hermes da Fonseca, Bessa",60.0,2.0,1.0,,58036-002
42,2638101880,1100000.0,"Brisamar, João Pessoa",165.0,4.0,,,58032-100
43,2617473436,140000.0,"Rua Flodoaldo Peixoto Filho, Valentina de Figueiredo",50.0,2.0,1.0,,58063-000
44,2613013920,280000.0,"Rua Bourgueville, Anatólia",150.0,3.0,,,58053-045
45,2605323811,135000.0,"Rua Inspetora Emília Mendonça Gomes, Valentina de Figueiredo",50.0,2.0,1.0,,58064-550
46,2638361283,145000.0,"Alameda Concris, Gramame",54.0,2.0,1.0,,58063-300
47,2613013102,110000.0,"Rua Antônio Limeira de Farias, Cidade dos Colibris",50.0,2.0,1.0,,58051-110
48,2631390578,280000.0,"Rua Goiás, Estados",60.0,2.0,1.0,,69305-410
49,2632079983,148860.0,"Rua Ivanise Lopes Lordão, José Américo de Almeida",54.0,2.0,1.0,,
50,2632428261,136810.0,"Rua Domingos José da Paixão, Muçumagro",54.0,2.0,1.0,,58067-235
51,2632295690,147250.0,"Rua Doutor Valdevino Gregório de Andrade, Valentina de Figueiredo",52.0,2.0,1.0,,58063-300
52,2638453890,109380.0,"Rua Inácio Albino Neto, Gramame",45.0,2.0,1.0,,58065-081
53,2632262587,598137.0,"Rua Luiz Edir Queiroz Marinho, Bessa",90.0,3.0,2.0,,
54,2638169957,450000.0,"Jardim Cidade Universitária, João Pessoa",127.0,3.0,,,
55,2573696774,244000.0,"Rua Caetano Figueiredo, Cristo Redentor",66.0,2.0,2.0,,58070-000
56,2624642719,258000.0,"Rua Maria Silvestre dos Santos, Bancários",56.0,2.0,1.0,,
57,2638377434,190000.0,"Avenida São Judas Tadeu, Varjão",72.0,3.0,1.0,,58070-000
58,2638796355,603677.0,"Manaíra, João Pessoa",91.0,3.0,2.0,,
59,2638632655,164800.0,"Rua Escritor Ramalho Leite, Muçumagro",200.0,,,,
60,2603183876,230000.0,"Rua Ana de Fátima Gama Cabral, Portal do Sol",76.0,3.0,1.0,,
61,2610446921,160000.0,"Valentina de Figueiredo, João Pessoa",47.0,2.0,3.0,,58063-300
62,2638483960,135000.0,"Rua Valdemar Naziazeno, Ernesto Geisel",54.0,2.0,1.0,,
63,2637427923,308630.0,"Rua Oswaldo Evaristo da Costa, Ipês",67.0,3.0,1.0,,
64,2624574201,359000.0,"Rua Oswaldo Evaristo da Costa, Estados",56.0,2.0,2.0,,
65,2638539418,390000.0,"Avenida Presidente Afonso Pena, Bessa",90.0,3.0,2.0,,58035-200
66,2632293915,149440.0,"Rua Carlos Mariz Celane, Mangabeira",52.0,2.0,1.0,,
67,2636447465,350000.0,"Rua Terezinha de Medeiros Dantas Souza, Aeroclube",53.0,2.0,1.0,,58036-605
68,2632400524,149710.0,"Rua Ana Cavalcanti de Albuquerque Teixeira Lima, Mangabeira",50.0,2.0,1.0,,
69,2628956780,143280.0,"Rua Enedino Rodrigues de Carvalho, Industrias",59.0,2.0,1.0,,58081-300
70,2638327314,185000.0,"Alameda Concris, Gramame",54.0,3.0,1.0,,58063-300
71,2638551223,315000.0,"Praça Wanda Braga de Lucena, Jardim Oceania",150.0,3.0,,,
72,2603666613,234900.0,"Avenida Expedicionários, Expedicionários",50.0,2.0,1.0,,38405-040
73,2625336162,159000.0,"Ernesto Geisel, João Pessoa",45.0,2.0,1.0,,58075-410
74,2638808781,480000.0,"Rua Philadelpho Pinto de Carvalho, Jardim Oceania",100.0,2.0,,,58036-345
75,2623425429,216000.0,"Rua Ninália de Luna Freire Barbosa, Portal do Sol",52.0,2.0,1.0,,58052-287
76,2554380443,648000.0,"Rua Francisco Feitosa Palitot, Aeroclube",90.0,3.0,2.0,,
77,2638074282,147000.0,"Rua Músico Cristóvão Rodrigues da Silva, Mumbaba",51.0,2.0,1.0,,
78,2624638463,214000.0,"Rua Roberto Paulo Moreira Coutinho, Portal do Sol",70.0,3.0,1.0,,58052-287
79,2638724392,365000.0,"Avenida Governador Flávio Ribeiro Coutinho, Jardim Oceania",76.0,2.0,1.0,,58038-142
80,2547843266,116990.0,"Paratibe, João Pessoa",47.0,2.0,1.0,,
81,2608035356,175000.0,"Rua José Paulino Costa Filho, Cristo Redentor",81.0,2.0,1.0,,58075-410
82,2638628908,420000.0,"Avenida Campos Sales, Bessa",65.0,2.0,1.0,,58035-070
83,2555984529,450000.0,"Rua Desembargador José Peregrino, Centro",336.0,3.0,,,58011-000
84,2614795984,145000.0,"Rua Celina Novais, Cruz das Armas",54.0,2.0,1.0,,58085-000
85,2632023320,160000.0,"Mangabeira, João Pessoa",50.0,2.0,1.0,,
86,2638793996,850000.0,"Rua Francisco Claudino Pereira, Manaíra",170.0,4.0,,,58038-431
87,2636017865,782000.0,"Rua Plácido de Azevedo Ribeiro, Altiplano Cabo Branco",92.0,3.0,2.0,,58046-095
88,2628645768,449000.0,"Jardim Cidade Universitária, João Pessoa",79.0,3.0,2.0,,
89,2638378673,156000.0,"Avenida Frei Agostinho, Mandacaru",72.0,3.0,1.0,,58025-060
90,2638734087,300000.0,"Rua José Bezerra de Farias, José Américo de Almeida",100.0,3.0,,,
91,2638431476,150000.0,"Portal do Sol, João Pessoa",44.0,2.0,1.0,,
92,2638391483,553000.0,"Rua Doutor Agrícola Montenegro, Miramar",84.0,3.0,2.0,,
93,2638504775,90000.0,"Rua Agricultor Carlos Onofre Nóbrega, Ernani Sátiro",48.0,2.0,1.0,,
94,2632084289,509190.0,"Avenida Franca Filho, Manaíra",82.0,3.0,2.0,,58038-130
95,2577271776,240000.0,"Rua Bancário Sérgio Guerra, Anatólia",68.0,2.0,1.0,,58052-170
96,2579284335,240000.0,"Rua Alexandrino D. da Silva Neto, Funcionários",60.0,2.0,1.0,,58080-150
97,2631907457,159880.0,"Rua Cícero Meireles, Mangabeira",55.0,2.0,2.0,,58073-314
98,2601107390,182000.0,"Cidade dos Colibris, João Pessoa",108.0,4.0,,,58073-314
99,2637528670,1390000.0,"Rua José Maria Tavares, Brisamar",169.0,3.0,,,58032-100
100,2568046152,Sob consulta,"Rua João Câncio, Manaíra",68.0,2.0,1.0,,
101,2614786925,328520.0,"Rua Genebaldo Avelar, Aeroclube",99.5,2.5,,,
102,2617662727,3431958.0,"Avenida João Cirilo da Silva, Altiplano Cabo Branco",414.0,4.5,,,
103,2635650384,670000.0,"Rua Eurico Uchoa, Pedro Gondim",364.0,4.0,,,
104,2625284863,430000.0,"Rua Rosalinda Jurema, Brisamar",59.0,2.0,1.0,,58032-100
105,2592132511,325000.0,"Rua Joakim Schuller, Jardim Oceania",38.0,1.0,,1.0,58037-700
106,2611501789,460000.0,"Rua Cecília Rodrigues Siqueira, Jardim Cidade Universitária",79.0,3.0,2.0,,58052-170
107,2619314394,450000.0,"Rua Eurídice Félix Cabral, Jardim Cidade Universitária",88.0,3.0,1.0,,
108,2608269771,125000.0,"Rua Pitassilgo, Paratibe",100.0,2.0,,,
109,2638576793,315000.0,"Avenida João Maurício, Jardim Oceania",150.0,3.0,,,58038-142
110,2608030081,255000.0,"Rua dos Eucalíptos, Anatólia",75.0,3.0,1.0,,58052-170
111,2601100653,359900.0,"Rua Joaquim Borba Filho, Jardim São Paulo",140.0,3.0,,,58053-045
112,2638431476,150000.0,"Portal do Sol, João Pessoa",44.0,2.0,1.0,,
113,2621435282,370000.0,"Rua Doutor Damasquins Ramos Maciel, Bessa",55.0,2.0,1.0,,58035-200
114,2632081002,269840.0,"Rua Comerciante Edilson Paiva de Araújo, Jardim Cidade Universitária",69.0,3.0,1.0,,
115,2632293915,149440.0,"Rua Carlos Mariz Celane, Mangabeira",52.0,2.0,1.0,,
116,2620650621,153000.0,"Rua Manoel Felisberto da Silva, Gramame",48.0,2.0,1.0,,58075-690
117,2631653212,449000.0,"Rua Bancário Sérgio Guerra, Anatólia",93.0,3.0,1.0,,58052-170
118,2617478330,615000.0,"Rua Eliseu do Rego Luna, Jardim São Paulo",85.0,3.0,2.0,,58053-045
119,2631390578,280000.0,"Rua Goiás, Estados",60.0,2.0,1.0,,69305-410
120,2585525164,140000.0,"Rua Adalgisa Targino da Silva, João Paulo II",54.0,2.0,1.0,,58075-410
121,2632078506,140000.0,"José Américo de Almeida, João Pessoa",58.0,2.0,1.0,,58071-000
122,2476984122,295000.0,"Rua Monsenhor José Maria Escrivá, José Américo de Almeida",168.0,3.0,,,
123,2638394765,490000.0,"Rua Norberto de Castro Nogueira, Bessa",82.0,3.0,2.0,,
124,2603666613,234900.0,"Avenida Expedicionários, Expedicionários",50.0,2.0,1.0,,38405-040
125,2580135635,175000.0,"Rua Adalgisa Carneiro Cavalcanti, Cuiá",55.0,2.0,1.0,,58073-597
126,2631645257,199540.0,"Rua Comerciante Edilson Paiva de Araújo, Jardim Cidade Universitária",52.0,2.0,1.0,,
127,2631799523,264420.0,"Rua Professora Nair Paiva dos Santos, Altiplano Cabo Branco",54.0,2.0,1.0,,
128,2638167407,380000.0,"Praça Tenente Antonio Fernandes do Amaral, Aeroclube",60.0,2.0,1.0,,
129,2638391483,553000.0,"Rua Doutor Agrícola Montenegro, Miramar",84.0,3.0,2.0,,
130,2613013102,110000.0,"Rua Antônio Limeira de Farias, Cidade dos Colibris",50.0,2.0,1.0,,58051-110
131,2562770006,160769.0,"Avenida Osvaldo Cruz, Tambiá",42.0,2.0,1.0,,58025-000
132,2605323811,135000.0,"Rua Inspetora Emília Mendonça Gomes, Valentina de Figueiredo",50.0,2.0,1.0,,58064-550
133,2638378673,156000.0,"Avenida Frei Agostinho, Mandacaru",72.0,3.0,1.0,,58025-060
134,2617286697,380000.0,"Rua Manoel Paulino Júnior, Tambauzinho",61.0,2.0,1.0,,58042-010
135,2622618226,210000.0,"Avenida Governador Antônio da Silva Mariz, Portal do Sol",65.0,2.0,1.0,,58046-005
136,2604788375,150000.0,"Rua Agenor Marinho de Souza, Jardim Cidade Universitária",65.0,2.0,1.0,,58052-170
137,2637952622,240000.0,"Rua Praia de Boa Viagem, Cuiá",95.0,2.0,3.0,,58073-597
138,2614195532,260000.0,"Rua Funcionária Rosa Machado da Costa, Barra de Gramame",280.0,7.0,,,
139,2557210395,140000.0,"José Américo de Almeida, João Pessoa",55.0,2.0,2.0,,58071-000
140,2631701066,525000.0,"Bessa, João Pessoa",81.0,3.0,2.0,,
141,2632081911,519550.0,"Avenida Franca Filho, Manaíra",82.0,3.0,2.0,,58038-130
142,2595805082,290000.0,"Rua José Marinho de Souza, Quadramares",72.0,2.0,1.0,,
143,2630314777,515090.0,"Rua Professora Luzia Simões Bartolini, Aeroclube",126.0,3.0,,,
144,2580977554,320000.0,"Rua Marechal Esperidião Rosas, Expedicionários",75.0,2.0,2.0,,
145,2638398919,153000.0,"Rua Manoel Felisberto da Silva, Gramame",48.0,2.0,1.0,,58075-690
146,2638322023,395000.0,"Rua Antônio Gama, Expedicionários",110.0,2.0,,,58041-110
147,2638515392,630000.0,"Avenida Presidente Juscelino Kubitschek, Ernesto Geisel",100.0,3.0,,,58075-410
148,2638579428,654000.0,"Rua Benjamim Rabelo, Aeroclube",90.0,3.0,2.0,,
149,2584410634,140000.0,"Cuiá, João Pessoa",52.0,2.0,1.0,,
150,2612007294,730000.0,"Praça Marechal Castelo Branco, Pedro Gondim",107.0,3.0,,,
151,2631767109,179180.0,"Rua Pedro Ináciode Araújo, Gramame",57.0,2.0,1.0,,
152,2638811063,198000.0,"Rua Ciro Troccoli, Cidade dos Colibris",59.0,2.0,1.0,,
153,2576746396,128000.0,"Rua Antonia Davina de Carvalho, Industrias",42.0,2.0,1.0,,
154,2637842263,380000.0,"Avenida Alfredo Dias Pinto, Alto do Mateus",160.0,2.0,,,
155,2636447465,350000.0,"Rua Terezinha de Medeiros Dantas Souza, Aeroclube",53.0,2.0,1.0,,58036-605
156,2571174022,220000.0,"Portal do Sol, João Pessoa",81.0,2.0,1.0,,
157,2567175244,122000.0,"Muçumagro, João Pessoa",49.0,2.0,1.0,,
158,2625338533,250000.0,"Ernani Sátiro, João Pessoa",100.0,2.0,,,
159,2606116537,130000.0,"Rua Natália Gomes de Andrade Silva, Gramame",48.0,2.0,1.0,,
160,2631764166,179660.0,"Rua Maria Pinheiro da Costa, Gramame",70.0,2.0,1.0,,
161,2638434753,215000.0,"Valentina de Figueiredo, João Pessoa",200.0,,,,58063-300
162,2624638463,214000.0,"Rua Roberto Paulo Moreira Coutinho, Portal do Sol",70.0,3.0,1.0,,58052-287
163,2631143560,210000.0,"Rua Conselheiro José Braz do Rego, Portal do Sol",60.0,2.0,1.0,,
164,2624564824,245250.0,"Rua Randal Cavalcante Pimentel, Bessa",55.0,2.0,,2.0,58035-200
165,2590040698,440000.0,"Rua Marechal Esperidião Rosas, Expedicionários",78.0,3.0,2.0,,
166,2577648899,520000.0,"Rua Cassimiro de Abreu, Brisamar",81.0,3.0,1.0,,58032-100
167,2632197576,679140.0,"Rua Manoel Ferreira Machado, Estados",99.0,3.0,1.0,,58025-060
168,2602985381,396000.0,"Expedicionários, João Pessoa",70.0,2.0,1.0,,
169,2632114588,170000.0,"Rua José de Carvalho Costa Filho, Colinas do Sul",56.0,2.0,1.0,,58065-081
170,2636074330,125000.0,"Avenida Florianópolis, Planalto Boa Esperança",50.0,2.0,1.0,,58063-000
171,2638537590,643186.0,"Rua Francisco Feitosa Palitot, Aeroclube",90.0,3.0,2.0,,
172,2628951127,233440.0,"Avenida São Rafael, Castelo Branco",47.0,2.0,1.0,,58042-005
173,2630340959,234110.0,"Rua Ademar Cabral de Medeiros, Jaguaribe",74.0,3.0,1.0,,
174,2562224112,300000.0,"Muçumagro, João Pessoa",100.0,2.0,,,
175,2612785344,155000.0,"Rua João José da Costa, Ernesto Geisel",45.0,2.0,1.0,,58075-410
176,2585206221,694016.0,"Rua Benjamim Rabelo, Bessa",90.0,3.0,2.0,,
177,2608833087,348000.0,"Rua Enfermeira Ana Maria Barbosa de Almeida, Jardim Cidade Universitária",72.0,3.0,1.0,,58052-330
178,2637178393,500000.0,"Rua São Gonçalo, Manaíra",80.0,3.0,2.0,,
179,2630214259,790000.0,"Rua Doutor Eliseu Lira, Miramar",130.0,4.0,,,
180,2547843266,116990.0,"Paratibe, João Pessoa",47.0,2.0,1.0,,
181,2632295379,212490.0,"Rua Filipéia, Tambiá",59.0,2.0,1.0,,58025-000
182,2608573417,140000.0,"Rua Isete Silva Moreira dos Santos, Valentina de Figueiredo",45.0,2.0,1.0,,
183,2638318959,330000.0,"Rua Governador José Gomes da Silva, Tambauzinho",80.0,2.0,1.0,,58042-060
184,2613013920,280000.0,"Rua Bourgueville, Anatólia",150.0,3.0,,,58053-045
185,2638453890,109380.0,"Rua Inácio Albino Neto, Gramame",45.0,2.0,1.0,,58065-081
186,2638522634,320000.0,"Rua Empresário João Rodrigues Alves, Bancários",90.0,3.0,9.0,,58051-085
187,2554380443,648000.0,"Rua Francisco Feitosa Palitot, Aeroclube",90.0,3.0,2.0,,
188,2623564357,133000.0,"Gramame, João Pessoa",56.0,2.0,,2.0,
189,2606894387,220000.0,"Rua José Bernardo Lima, Mangabeira",70.0,10.0,,,58058-028
190,2638551223,315000.0,"Praça Wanda Braga de Lucena, Jardim Oceania",150.0,3.0,,,
191,2606113238,124900.0,"Rua dos Catolés, Muçumagro",45.0,2.0,1.0,,58062-305
192,2623425429,216000.0,"Rua Ninália de Luna Freire Barbosa, Portal do Sol",52.0,2.0,1.0,,58052-287
193,2609917475,110000.0,"Rua Flodoaldo Peixoto Filho, Planalto Boa Esperança",48.0,2.0,1.0,,58063-300
194,2573722561,140000.0,"Gramame, João Pessoa",65.0,2.0,1.0,,
195,2614779914,140000.0,"Avenida Hilton Souto Maior, Cidade dos Colibris",,3.0,1.0,2.0,58073-212
196,2625334698,143500.0,"Planalto Boa Esperança, João Pessoa",52.0,2.0,1.0,,58065-081
197,2582311321,150000.0,"Rua Alcides Ramos Cavalcante, Oitizeiro",50.0,2.0,1.0,,
198,2584547552,140000.0,"Rua Adalberto Peixoto de Vasconcelos, João Paulo II",54.0,2.0,1.0,,
199,2617684378,731313.0,"Rua José Gomes de Sá Filho, Jardim Oceania",108.0,3.5,,,58037-345
200,2611775512,731313.0,"Rua José Gomes de Sá Filho, Jardim Oceania",108.0,3.5,,,58037-345
201,2611771226,479900.0,"Rua Professora Maria Sales, Tambaú",34.5,2.0,,,58045-000
202,2575569973,700000.0,"Rua Escrivão Sebastião de Azevedo Bastos, Manaíra",210.0,3.0,,,
203,2619531112,1680000.0,"Rua Abelardo da Silva Guimarães Barreto, Altiplano Cabo Branco",175.0,4.0,,,58046-095
204,2636446596,1190000.0,"Rua Antônio Carlos Araújo, Cabo Branco",175.0,3.0,,,58046-095
205,2638535023,299900.0,"Rua Adalgisa Amália Souto Maior, Portal do Sol",510.0,,,,
206,2592486656,290000.0,"Rua Severino Leopoldino Urtiga, José Américo de Almeida",75.0,3.0,1.0,,
207,2632084879,489740.0,"Avenida Franca Filho, Manaíra",85.0,3.0,2.0,,58038-130
208,2624459428,260000.0,"Torre, João Pessoa",50.0,2.0,1.0,,
209,2573696774,244000.0,"Rua Caetano Figueiredo, Cristo Redentor",66.0,2.0,2.0,,58070-000
210,2638114264,320000.0,"Rua Tertuliano Castro, Bessa",72.0,3.0,2.0,,58035-200
211,2605038019,165000.0,"Rua Avelina dos Santos, Valentina de Figueiredo",62.0,3.0,1.0,,58064-550
212,91702095,122400.0,"Rua Carteiro Antonio Dias Pacheco, João Paulo II",42.0,1.0,1.0,,58075-410
213,2631907457,159880.0,"Rua Cícero Meireles, Mangabeira",55.0,2.0,2.0,,58073-314
214,2614582200,110000.0,"Rua Benedito Damázio da Silva, Gramame",56.0,2.0,1.0,,
215,2630339781,239090.0,"Rua das Imburanas, Anatólia",70.0,2.0,1.0,,58052-170
216,2562250775,520000.0,"Ipês, João Pessoa",87.0,3.0,2.0,,
217,2638745453,150000.0,"Cidade dos Colibris, João Pessoa",55.0,2.0,1.0,,58073-314
218,2631902294,156770.0,"Rua Petrarca Grisi, Cristo Redentor",46.0,2.0,1.0,,58071-690
219,2638328552,172000.0,"Avenida Severino Dias de Oliveira, Paratibe",52.0,2.0,1.0,,58062-349
220,2625333771,178000.0,"Planalto Boa Esperança, João Pessoa",69.0,3.0,1.0,,58065-081
221,2603201178,300000.0,"Avenida Expedicionários, Torre",110.0,3.0,,,58030-001
222,2638808781,480000.0,"Rua Philadelpho Pinto de Carvalho, Jardim Oceania",100.0,2.0,,,58036-345
223,2566653788,600000.0,"Conjunto Pedro Gondim, João Pessoa",92.0,3.0,2.0,,
224,2603183876,230000.0,"Rua Ana de Fátima Gama Cabral, Portal do Sol",76.0,3.0,1.0,,
225,2611891680,220000.0,"Jardim Cidade Universitária, João Pessoa",65.0,2.0,1.0,,
226,2563319905,115000.0,"Gramame, João Pessoa",58.0,2.0,1.0,,
227,2608313555,244900.0,"Rua Bourgueville, Anatólia",61.0,2.0,1.0,,58053-045
228,2636513962,30000.0,"Praia do Sol, Barra de Gramame",450.0,,,,
229,2577040954,135000.0,"Gramame, João Pessoa",51.0,2.0,1.0,,
230,2627673396,169900.0,"Rua João Galiza de Andrade, Jardim São Paulo",65.0,2.0,1.0,,58051-085
231,2614795984,145000.0,"Rua Celina Novais, Cruz das Armas",54.0,2.0,1.0,,58085-000
232,2632081975,134360.0,"Rua Dorise Souza Viana, Gramame",70.0,2.0,1.0,,58067-241
233,2625126516,420000.0,"Rua Marechal Esperidião Rosas, Expedicionários",100.0,4.0,,,
234,2638070242,245000.0,"Avenida Santa Bárbara, CIDADE UNIVERSITARIA",77.0,3.0,1.0,,58055-018
235,2614544610,135000.0,"Rua João Miguel de Souza, Ernesto Geisel",55.0,2.0,1.0,,58075-410
236,2630241856,155000.0,"Valentina de Figueiredo, João Pessoa",45.0,2.0,1.0,,58063-300
237,2601269269,115000.0,"Rua Administrador Idevaldo Veras Barreto, Jardim São Paulo",53.0,2.0,1.0,,58053-045
238,2576176558,289000.0,"Rua Deputado Otávio Mariz Maia, Castelo Branco",55.0,2.0,1.0,,58051-120
239,2605323279,950000.0,"Rua Maria Facunda de Oliveira Dias, Brisamar",167.0,3.0,,,
240,2620627753,189000.0,"Rua do Rosário, Muçumagro",64.0,2.0,1.0,,58067-235
241,2573897288,690000.0,"Jardim Oceania, João Pessoa",138.0,3.0,,,
242,2609438773,125000.0,"Rua Artífice Pedro Marcos de Souza, Valentina de Figueiredo",63.0,2.0,1.0,,
243,2606112838,143000.0,"Rua das Indústrias, Distrito Industrial",50.0,2.0,1.0,,95735-000
244,2628465101,1170000.0,"Manaíra, João Pessoa",250.0,4.0,,,
245,2629083385,560880.0,"Rua Doutor Agrícola Montenegro, Miramar",85.0,3.0,2.0,,
246,2637850162,325000.0,"Avenida João Maurício, Manaíra",32.0,1.0,,1.0,58038-102
247,2632082988,519150.0,"Avenida Franca Filho, Manaíra",82.0,3.0,2.0,,58038-130
248,2624146499,360000.0,"Bessa, João Pessoa",50.0,2.0,1.0,,
249,2631798885,600000.0,"Manaíra, João Pessoa",85.0,3.0,2.0,,
250,2567172700,119000.0,"Cuiá, João Pessoa",65.0,2.0,1.0,,
251,2621210814,425000.0,"Rua Marechal Esperidião Rosas, Expedicionários",73.0,3.0,2.0,,
252,2567173648,120000.0,"Muçumagro, João Pessoa",50.0,2.0,1.0,,
253,2582122899,125000.0,"Vila Antônia Machado, Mandacaru",63.0,2.0,1.0,,58027-773
254,2556366816,239000.0,"Rua Luiz Alves Conserva, Jardim São Paulo",46.0,2.0,,2.0,58053-045
255,2601090054,1150000.0,"Manaíra, João Pessoa",160.0,4.0,,,
256,2542545658,250000.0,"Avenida Senador Ruy Carneiro, Miramar",43.0,,1.0,1.0,58032-100
257,2599174962,220000.0,"Avenida Capitão José Pessoa, Jaguaribe",60.0,2.0,1.0,,58015-170
258,2555187990,1300000.0,"Rua Marieta Steimbach Silva, Miramar",150.0,3.0,,,
259,2597545791,172000.0,"Avenida Francisco Lustosa Cabral, Cristo Redentor",51.0,2.0,1.0,,
260,2620635111,419000.0,"Avenida Capitão João Freire, Expedicionários",110.0,3.0,,,
261,2583162177,240000.0,"Rua Professora Josefa Di Lorenzo Souza, Portal do Sol",55.0,2.0,1.0,,
262,2638362688,450000.0,"Avenida Expedicionários, Torre",110.0,3.0,,,58030-001
263,2614563695,299000.0,"Rua Tabelião Erinaldo Nunes Oliveira, Jardim Cidade Universitária",97.0,3.0,1.0,,58052-750
264,2638334854,375000.0,"Avenida Manoel Teotônio dos Santos, Ipês",100.0,3.0,,,58036-853
265,2638382480,686250.0,"Rua Norberto de Castro Nogueira, Jardim Oceania",91.0,3.0,2.0,,58037-050
266,2638120429,260000.0,"Rua Carmem Romero, Bessa",60.0,2.0,1.0,,
267,2630340081,119680.0,"Rua Cícero César Moreira de Oliveira, Muçumagro",45.0,2.0,1.0,,
268,2626614843,199900.0,"Rua Pedro Alves de Andrade, Jardim São Paulo",80.0,3.0,1.0,,58051-110
269,2579284235,240000.0,"Rua Alexandrino D. da Silva Neto, Funcionários",60.0,2.0,1.0,,58080-150
270,2638433016,90000.0,"Ernani Sátiro, João Pessoa",48.0,2.0,1.0,,
271,2615403917,216000.0,"Rua Advogado José Wilsom, Cristo Redentor",60.0,2.0,1.0,,
272,2599407068,120000.0,"Parque Solon de Lucena, Centro",56.0,3.0,1.0,,58013-130
273,2604964282,452820.0,"Avenida Maria Rosa, Manaíra",66.0,2.0,1.0,,58038-342
274,2638574461,160000.0,"Rua Major João Junqueira Viana, Castelo Branco",55.0,2.0,1.0,,58042-005
